Timestamp,What percentage of the world's vascular plant species are woody?,How would you rate your familiarity with plants?,How much formal training have you received in botany?,What continent/country did you receive your biology/botany training?,In what country did you receive your biology/botany training?
6/4/12 9:32,30,Familiar,Postgraduate degree in botany or a related field,,India and USA
6/4/12 9:40,20,What's a Plant?,Some botany courses at either an undergraduate or postgraduate level,,USA
6/4/12 9:42,30,Somewhat Familiar,Undergraduate degree in botany or a related field,,USA
6/4/12 9:52,20,Familiar,Undergraduate degree in botany or a related field,,USA
6/4/12 9:54,10,Somewhat Familiar,No formal training in botany,,
6/4/12 10:05,30,Familiar,Postgraduate degree in botany or a related field,,USA
6/4/12 10:31,15,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
6/4/12 10:41,30,Somewhat Familiar,Partially complete postgraduate degree in botany or a related field,,Turkey
6/4/12 10:44,50,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
6/4/12 10:46,20,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/4/12 10:47,40,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
6/4/12 10:48,60,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/4/12 10:49,33,Very Familiar,Partially complete postgraduate degree in botany or a related field,,USA
6/4/12 10:51,7.5,Familiar,Postgraduate degree in botany or a related field,,USA
6/4/12 10:54,40,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/4/12 10:54,25,Familiar,Postgraduate degree in botany or a related field,,Italy
6/4/12 10:56,30,Somewhat Familiar,No formal training in botany,,USA
6/4/12 10:57,80,Very Familiar,Partially complete postgraduate degree in botany or a related field,,USA
6/4/12 10:58,25,Very Familiar,Postgraduate degree in botany or a related field,,France
6/4/12 11:03,35,Familiar,Partially complete postgraduate degree in botany or a related field,,USA
6/4/12 11:04,45,Very Familiar,Partially complete postgraduate degree in botany or a related field,,Italy / USA
6/4/12 11:07,40,Familiar,Postgraduate degree in botany or a related field,,USA & UK
6/4/12 11:11,15,Familiar,Postgraduate degree in botany or a related field,,USA
6/4/12 11:12,35,Very Familiar,Partially complete postgraduate degree in botany or a related field,,USA
6/4/12 11:16,10.4,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Canada
6/4/12 11:16,33.33333333,Familiar,Postgraduate degree in botany or a related field,,Germany and France
6/4/12 11:23,32.5,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
6/4/12 11:26,15,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/4/12 11:35,14.3,What's a Plant?,No formal training in botany,,USA
6/4/12 11:37,5,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/4/12 11:39,25,Somewhat Familiar,Undergraduate degree in botany or a related field,,Canada
6/4/12 11:46,30,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/4/12 11:56,60,Very Familiar,Postgraduate degree in botany or a related field,,UK
6/4/12 12:02,75,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/4/12 12:08,35,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/4/12 12:10,30,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/4/12 12:14,47.5,Very Familiar,Postgraduate degree in botany or a related field,,Ecuador
6/4/12 12:15,25,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/4/12 12:16,10,What's a Plant?,Some botany courses at either an undergraduate or postgraduate level,,USA
6/4/12 12:23,40,Very Familiar,Postgraduate degree in botany or a related field,,UK
6/4/12 12:26,65,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/4/12 12:26,40,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Germany and USA
6/4/12 12:26,65,Very Familiar,Partially complete postgraduate degree in botany or a related field,,USA
6/4/12 12:32,25,Familiar,Postgraduate degree in botany or a related field,,USA
6/4/12 12:35,40,Somewhat Familiar,Undergraduate degree in botany or a related field,,UK
6/4/12 12:48,60,Very Familiar,Partially complete postgraduate degree in botany or a related field,,Colombia and USA
6/4/12 12:48,12.5,Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
6/4/12 13:09,30,Very Familiar,Postgraduate degree in botany or a related field,,"Germany, USA, Austria, UK"
6/4/12 13:10,40,Familiar,Undergraduate degree in botany or a related field,,USA
6/4/12 13:12,70,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brazil
6/4/12 13:17,20,Familiar,Postgraduate degree in botany or a related field,,US
6/4/12 13:33,35,Very Familiar,Postgraduate degree in botany or a related field,,Netherlands
6/4/12 13:34,40,Very Familiar,Postgraduate degree in botany or a related field,,france
6/4/12 13:37,25,Familiar,Partially complete postgraduate degree in botany or a related field,,"US, UK, Canada"
6/4/12 13:38,37.5,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/4/12 13:41,90,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/4/12 14:06,40,Very Familiar,Postgraduate degree in botany or a related field,,Sweden
6/4/12 14:14,30,Somewhat Familiar,Postgraduate degree in botany or a related field,,USA
6/4/12 14:25,20,Somewhat Familiar,No formal training in botany,,USA
6/4/12 15:16,6.5,Familiar,Postgraduate degree in botany or a related field,,Slovakia
6/4/12 15:51,17.5,Very Familiar,Postgraduate degree in botany or a related field,,Russia
6/4/12 16:05,30,Very Familiar,Undergraduate degree in botany or a related field,,USA
6/4/12 16:38,30,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/4/12 17:13,5,Very Familiar,Postgraduate degree in botany or a related field,,Canada
6/4/12 18:49,20,Very Familiar,Partially complete postgraduate degree in botany or a related field,,Mexico
6/4/12 19:13,60,Very Familiar,Partially complete postgraduate degree in botany or a related field,,USA
6/4/12 20:13,15,Very Familiar,Postgraduate degree in botany or a related field,,Australia
6/4/12 21:33,40,Very Familiar,Postgraduate degree in botany or a related field,,Brazil
6/4/12 23:01,20,Familiar,Postgraduate degree in botany or a related field,,USA
6/4/12 23:39,40,Very Familiar,Postgraduate degree in botany or a related field,,Australia
6/5/12 1:12,40,Very Familiar,Postgraduate degree in botany or a related field,,Belgium
6/5/12 1:14,17.5,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Netherlands
6/5/12 1:20,35,Familiar,Partially complete postgraduate degree in botany or a related field,,Netherlands
6/5/12 1:22,35,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/5/12 4:16,42.5,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/5/12 6:16,20,Very Familiar,Postgraduate degree in botany or a related field,,Canada
6/5/12 8:16,15,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/5/12 8:25,5,Very Familiar,Postgraduate degree in botany or a related field,,Spain
6/5/12 9:30,1,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/5/12 9:48,30,Familiar,Postgraduate degree in botany or a related field,,USA
6/5/12 10:46,40,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/5/12 10:48,40,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/5/12 11:05,35,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/5/12 11:06,35,Very Familiar,Undergraduate degree in botany or a related field,,Netherlands and Mexico
6/5/12 11:45,40,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
6/5/12 11:50,30,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
6/5/12 11:51,20,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Germany and USA
6/5/12 11:53,30,Somewhat Familiar,No formal training in botany,,
6/5/12 11:55,40,Very Familiar,Postgraduate degree in botany or a related field,,Turkey
6/5/12 11:55,50,Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
6/5/12 11:58,12,Familiar,Undergraduate degree in botany or a related field,,USA
6/5/12 12:16,25,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/5/12 12:20,10,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/5/12 12:23,35,Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
6/5/12 12:24,45,Very Familiar,Postgraduate degree in botany or a related field,,Nepal and USA
6/5/12 13:00,45,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
6/5/12 13:12,3,Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
6/5/12 13:28,30,Familiar,Partially complete postgraduate degree in botany or a related field,,USA
6/5/12 13:29,10,Familiar,Postgraduate degree in botany or a related field,,New Zealand
6/5/12 14:02,12,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/5/12 14:26,30,Very Familiar,Partially complete postgraduate degree in botany or a related field,,Canada and USA
6/5/12 14:35,65,Somewhat Familiar,No formal training in botany,,USA
6/5/12 16:16,65,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/5/12 16:40,22,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
6/5/12 17:20,25,Familiar,Partially complete postgraduate degree in botany or a related field,,USA
6/5/12 17:41,35,Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
6/5/12 17:48,19,Familiar,Postgraduate degree in botany or a related field,,Australia
6/5/12 17:54,15,Familiar,Postgraduate degree in botany or a related field,,Australia
6/5/12 19:46,38,Very Familiar,Undergraduate degree in botany or a related field,,Guatemala
6/5/12 20:31,5,What's a Plant?,No formal training in botany,,USA
6/5/12 20:37,25,Familiar,Postgraduate degree in botany or a related field,,Estonia
6/5/12 21:20,15,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
6/5/12 21:36,13,Familiar,Undergraduate degree in botany or a related field,,USA
6/5/12 21:40,40,Very Familiar,Postgraduate degree in botany or a related field,,Australia
6/5/12 21:44,25,Very Familiar,Postgraduate degree in botany or a related field,,Australia
6/5/12 23:33,60,Very Familiar,Postgraduate degree in botany or a related field,,Germany
6/6/12 0:01,20,Somewhat Familiar,Undergraduate degree in botany or a related field,,UK
6/6/12 1:48,25,Familiar,Undergraduate degree in botany or a related field,,Switzerland
6/6/12 5:07,61,Very Familiar,Postgraduate degree in botany or a related field,,Netherlands
6/6/12 6:11,40,Somewhat Familiar,No formal training in botany,,USA
6/6/12 7:15,25,Very Familiar,Postgraduate degree in botany or a related field,,Italy
6/6/12 7:32,32.5,Familiar,Partially complete postgraduate degree in botany or a related field,,Colombia
6/6/12 8:21,45,Familiar,Postgraduate degree in botany or a related field,,Peru
6/6/12 10:31,50,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/6/12 12:08,37,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/6/12 14:55,40,Very Familiar,Postgraduate degree in botany or a related field,,Canada
6/6/12 15:34,47.5,Very Familiar,Postgraduate degree in botany or a related field,,Peru
6/7/12 5:25,15,Familiar,Postgraduate degree in botany or a related field,,UK
6/7/12 6:48,5,Somewhat Familiar,Undergraduate degree in botany or a related field,,New Zealand
6/7/12 13:01,50,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/8/12 13:09,15,Familiar,Undergraduate degree in botany or a related field,,UK
6/8/12 15:13,40,Very Familiar,Partially complete postgraduate degree in botany or a related field,,USA
6/10/12 19:42,30,Very Familiar,Postgraduate degree in botany or a related field,,USA
6/10/12 23:25,30,Somewhat Familiar,Postgraduate degree in botany or a related field,,New Zealand
6/11/12 0:31,32,What's a Plant?,Some botany courses at either an undergraduate or postgraduate level,,UK
6/11/12 7:54,40,Familiar,Postgraduate degree in botany or a related field,,USA
6/11/12 12:48,20,Familiar,Postgraduate degree in botany or a related field,,Canada
6/11/12 16:49,58.44,Familiar,Postgraduate degree in botany or a related field,,USA
6/12/12 4:49,10,Familiar,Postgraduate degree in botany or a related field,,Greece
6/12/12 12:34,25,Familiar,Postgraduate degree in botany or a related field,,USA
6/22/12 9:51,15,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
7/13/12 11:56,18,Very Familiar,Postgraduate degree in botany or a related field,,UK
7/13/12 11:59,7.5,Very Familiar,Postgraduate degree in botany or a related field,,USA
7/13/12 12:02,17.5,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
7/13/12 12:13,5,Somewhat Familiar,Undergraduate degree in botany or a related field,,USA
7/13/12 13:10,40,Familiar,Undergraduate degree in botany or a related field,,USA
7/16/12 17:54,10,Familiar,Postgraduate degree in botany or a related field,,USA
7/18/12 8:26,37,Very Familiar,Postgraduate degree in botany or a related field,,USA
7/18/12 11:01,25,Familiar,Undergraduate degree in botany or a related field,,USA
8/30/12 10:24,40,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 10:25,30,Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 10:25,1,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 10:30,20,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 10:31,15,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 10:37,25,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 10:41,60,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 10:45,20,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 10:57,2,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 11:00,37.5,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 11:13,77,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 11:14,60,Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 11:18,27.5,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 11:19,40,Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 11:23,20,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 11:23,25,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 11:38,10,Somewhat Familiar,No formal training in botany,,Brasil
8/30/12 11:45,15,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 11:48,20,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 12:17,60,Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 12:17,10,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 13:01,20,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Peru
8/30/12 13:18,30,Very Familiar,Undergraduate degree in botany or a related field,,Brasil
8/30/12 13:22,50,Somewhat Familiar,Partially complete postgraduate degree in botany or a related field,,Brasil
8/30/12 13:23,9,,,,
8/30/12 13:25,40,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 14:11,25,,,,
8/30/12 14:12,25,Familiar,Undergraduate degree in botany or a related field,,Brasil
8/30/12 14:26,45,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 14:47,10,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 15:32,60,Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 15:39,18.5,What's a Plant??,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 16:41,6,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 16:48,30,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 17:01,76,Familiar,No formal training in botany,,Brasil
8/30/12 17:50,65,Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 17:54,40,Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 18:09,30,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 18:32,35,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 18:33,40,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 18:37,56,Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 19:31,60,Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 21:26,20,,No formal training in botany,,Brasil
8/30/12 22:53,65,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/30/12 23:18,80,Somewhat Familiar,No formal training in botany,,
8/31/12 5:32,37.5,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/31/12 6:32,40,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/31/12 7:29,40,Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/31/12 9:20,60,Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brasil
8/31/12 10:30,60,Somewhat Familiar,No formal training in botany,,Brasil
