"synonym","species"
"Ancistrocladus_extensus","Ancistrocladus_tectorius"
"Ancistrocladus_pinangianus","Ancistrocladus_tectorius"
"Ancistrocladus_stelligerus","Ancistrocladus_tectorius"
"Andrachne_arida","Phyllanthopsis_arida"
"Andrachne_ovalis","Pseudophyllanthus_ovalis"
"Andromeda_catesbaei","Leucothoe_catesbaei"
"Andromeda_floribunda","Pieris_floribunda"
"Aneilema_keisak","Murdannia_keisak"
"Aneilema_nudiflorum","Murdannia_gigantea"
"Aneilema_vitiense","Rhopalephora_vitiensis"
"Anemopaegma_carrerense","Anemopaegma_karstenii"
"Anetholea_anisata","Syzygium_anisatum"
"Angadenia_sagraei","Angadenia_berteroi"
"Aningeria_altissima","Pouteria_altissima"
"Aningeria_robusta","Pouteria_pierrei"
"Anisoptera_oblonga","Anisoptera_costata"
"Annamocarya_sinensis","Carya_sinensis"
"Anodiscus_xanthophyllus","Gloxinia_xanthophylla"
"Anomatheca_fistulosa","Xenoscapa_fistulosa"
"Anomatheca_verrucosa","Freesia_verrucosa"
"Anomatheca_viridis","Freesia_viridis"
"Anthocephalus_cadamba","Neolamarckia_cadamba"
"Anthodiscus_gutierrezii","Anthodiscus_peruanus"
"Antholyza_namaquensis","Babiana_hirsuta"
"Antholyza_plicata","Babiana_hirsuta"
"Anthosiphon_roseans","Cryptocentrum_roseans"
"Anthotroche_blackii","Anthotroche_pannosa"
"Anthurium_bombacifolium","Anthurium_macrolobium"
"Anthurium_holtonianum","Anthurium_macrolobium"
"Anthyllis_tetraphylla","Tripodion_tetraphyllum"
"Antirhea_trichantha","Pittoniotis_trichantha"
"Apalanthe_granatensis","Elodea_granatensis"
"Apatzingania_arachoidea","Echinopepon_arachoideus"
"Apeiba_aspera","Apeiba_glabra"
"Apeiba_echinata","Apeiba_petoumo"
"Aphaerema_spicata","Abatia_angeliana"
"Aphanamixis_cumingiana","Aphanamixis_polystachya"
"Aphanamixis_grandiflora","Aphanamixis_polystachya"
"Aphanamixis_perrottetiana","Aphanamixis_polystachya"
"Aphanamixis_velutina","Aphanamixis_polystachya"
"Aphania_senegalensis","Lepisanthes_senegalensis"
"Apochloa_cipoensis","Panicum_cipoense"
"Apochloa_euprepes","Panicum_euprepes"
"Apochloa_poliophylla","Panicum_poliophyllum"
"Apollonias_velutina","Beilschmiedia_velutina"
"Arabis_brassica","Turritis_brassica"
"Araucaria_balansae","Araucaria_subulata"
"Arceuthobium_verticilliflorum","Razoumofskya_verticilliflora"
"Arctostaphylos_rubra","Arctous_ruber"
"Ardisia_lanceolata","Ardisia_purpurea"
"Arenga_borneensis","Arenga_hastata"
"Aristea_cognata","Aristea_abyssinica"
"Aristea_confusa","Aristea_bakeri"
"Aristea_hockii","Aristea_nyikensis"
"Aristea_macrocarpa","Aristea_bakeri"
"Aristea_nitida","Aristea_goetzei"
"Aristea_thyrsiflora","Aristea_capitata"
"Aristida_intermedia","Aristida_teretifolia"
"Aristolochia_chapmaniana","Aristolochia_tonduzii"
"Aristolochia_kankauensis","Aristolochia_zollingeriana"
"Aristolochia_petersiana","Aristolochia_albida"
"Aristolochia_promissa","Pararistolochia_promissa"
"Aristolochia_triactina","Pararistolochia_triactina"
"Aristotelia_macqui","Aristotelia_chilensis"
"Arrabidaea_affinis","Tanaecium_affinis"
"Arrabidaea_brachypoda","Fridericia_platyphylla"
"Arrabidaea_candicans","Fridericia_candicans"
"Arrabidaea_chica","Fridericia_chica"
"Arrabidaea_cinnamomea","Fridericia_cinnamomea"
"Arrabidaea_conjugata","Fridericia_conjugata"
"Arrabidaea_dispar","Fridericia_dispar"
"Arrabidaea_florida","Fridericia_florida"
"Arrabidaea_harleyi","Xylophragma_harleyi"
"Arrabidaea_leucopogon","Fridericia_leucopogon"
"Arrabidaea_nigrescens","Fridericia_nigrescens"
"Arrabidaea_oligantha","Fridericia_oligantha"
"Arrabidaea_patellifera","Fridericia_patellifera"
"Arrabidaea_pearcei","Fridericia_pearcei"
"Arrabidaea_prancei","Fridericia_prancei"
"Arrabidaea_pubescens","Fridericia_pubescens"
"Arrabidaea_rego","Fridericia_rego"
"Arrabidaea_revillae","Tanaecium_revillae"
"Arrabidaea_sceptrum","Cuspidaria_sceptrum"
"Arrabidaea_spicata","Fridericia_spicata"
"Arrabidaea_trailii","Fridericia_trailii"
"Arrabidaea_verrucosa","Fridericia_schumanniana"
"Artabotrys_intermedius","Artabotrys_hexapetalus"
"Artabotrys_stolzii","Artabotrys_monteiroae"
"Artemisia_borotalensis","Seriphidium_borotalense"
"Artemisia_leucotricha","Seriphidium_leucotrichum"
"Artemisia_spinescens","Picrothamnus_desertorum"
"Arthrophyllum_diversifolium","Arthrophyllum_biforme"
"Arthrophyllum_ovatum","Arthrophyllum_montanum"
"Arthrophyllum_pinnatum","Polyscias_cumingiana"
"Artocarpus_peduncularis","Artocarpus_teysmannii"
"Asarum_chingchengense","Asarum_splendens"
"Asarum_hayatanum","Asarum_hypogynum"
"Asparagus_plumosus","Asparagus_setaceus"
"Aspicarpa_hirtella","Gaudichaudia_hirtella"
"Aspidosperma_cruentum","Aspidosperma_desmanthum"
"Aspidosperma_marcgravianum","Aspidosperma_excelsum"
"Aspidosperma_sessiliflorum","Aspidosperma_cuspa"
"Aspidosperma_tambopatense","Aspidosperma_parvifolium"
"Aspidosperma_verruculosum","Aspidosperma_spruceanum"
"Astartea_clavifolia","Seorsus_clavifolius"
"Aster_acuminatus","Oclemena_acuminata"
"Aster_macrophyllus","Eurybia_macrophylla"
"Aster_novae-angliae","Symphyotrichum_novae-angliae"
"Aster_oblongifolius","Symphyotrichum_oblongifolium"
"Aster_sagittifolius","Symphyotrichum_undulatum"
"Aster_scaber","Symphyotrichum_undulatum"
"Aster_shortii","Symphyotrichum_shortii"
"Asterolinon_adoense","Lysimachia_adoensis"
"Asterolinon_linum-stellatum","Lysimachia_linum-stellatum"
"Astilbe_austrosinensis","Astilbe_grandis"
"Astragalus_peristereus","Astracantha_peristerea"
"Astroworthia_skinneri","Astroworthia_bicarinata"
"Ateramnus_integer","Gymnanthes_integra"
"Ateramnus_lucidus","Gymnanthes_lucida"
"Atriplex_nitens","Atriplex_sagittata"
"Atylosia_lineata","Cajanus_lineatus"
"Aulax_cneorifolia","Aulax_umbellata"
"Australopyrum_pectinatum","Agropyron_brownei"
"Australopyrum_retrofractum","Agropyron_retrofractum"
"Australopyrum_velutinum","Agropyron_velutinum"
"Austrodanthonia_acerosa","Rytidosperma_acerosum"
"Austrodanthonia_alpicola","Rytidosperma_alpicola"
"Austrodanthonia_geniculata","Rytidosperma_geniculatum"
"Austrodanthonia_laevis","Rytidosperma_laeve"
"Austromyrtus_bidwillii","Gossia_bidwillii"
"Austromyrtus_hillii","Gossia_hillii"
"Austromyrtus_lasioclada","Lenwebbia_lasioclada"
"Austrostipa_acrociliata","Stipa_acrociliata"
"Austrostipa_bigeniculata","Stipa_bigeniculata"
"Austrostipa_blackii","Stipa_blackii"
"Austrostipa_breviglumis","Stipa_breviglumis"
"Austrostipa_campylachne","Stipa_campylachne"
"Austrostipa_curticoma","Stipa_curticoma"
"Austrostipa_drummondii","Stipa_drummondii"
"Austrostipa_exilis","Stipa_exilis"
"Austrostipa_flavescens","Stipa_flavescens"
"Austrostipa_hemipogon","Stipa_hemipogon"
"Austrostipa_macalpinei","Stipa_macalpinei"
"Austrostipa_muelleri","Stipa_muelleri"
"Austrostipa_multispiculis","Stipa_multispiculis"
"Austrostipa_nitida","Stipa_nitida"
"Austrostipa_nodosa","Stipa_nodosa"
"Austrostipa_nullanulla","Stipa_nullanulla"
"Austrostipa_oligostachya","Stipa_oligostachya"
"Austrostipa_petraea","Stipa_petraea"
"Austrostipa_pilata","Stipa_pilata"
"Austrostipa_platychaeta","Stipa_platychaeta"
"Austrostipa_puberula","Stipa_puberula"
"Austrostipa_stipoides","Stipa_stipoides"
"Austrostipa_stuposa","Stipa_stuposa"
"Austrostipa_trichophylla","Stipa_trichophylla"
"Austrostipa_verticillata","Stipa_verticillata"
"Auxemma_glazioviana","Cordia_oncocalyx"
"Avena_macrostachya","Helictotrichon_macrostachyum"
"Avenula_crassifolia","Helictotrichon_crassifolium"
"Babcockia_platylepis","Sonchus_platylepis"
