"Country","Long","Lat"
"Antarctica",22.2252271862434,-80.5029431006088
"Russia",113.390934653329,62.5084134125097
"Canada",-101.822586324745,57.8193351327911
"United States",-99.4294350539786,39.4054123470759
"China",103.809475375142,36.6227501848904
"Brazil",-53.1125638462178,-10.8384755901873
"Australia",134.353122675552,-25.5759039099358
"Greenland",-41.4574598070679,74.7548257059369
"Russia",45.0434492200978,58.3642014181316
"Kazakhstan",67.3914583700763,48.1927256662522
"India",79.5933575641095,22.9115516867018
"Argentina",-65.1480118374191,-35.1818884531052
"Algeria",2.6329244834008,28.1636376392577
"Sudan",30.0501566823925,13.8323013492917
"Congo (DRC)",23.6161734061706,-2.85633390204121
"Mongolia",103.081618578981,46.8358152644846
"Mexico",-102.51404286231,23.9436128264735
"Saudi Arabia",44.5536739786603,24.0289694280839
"Iran",54.2984153813035,32.5717859028025
"Indonesia",114.012904003386,-0.196780991451507
"Libya",18.0232036246292,27.044369760702
"South Africa",25.1652480138321,-29.0083443366994
"Mali",-3.5247141695466,17.3490622578675
"Chad",18.7111003697956,15.3794930236309
"Peru",-74.3960132983804,-9.13869045893926
"Angola",17.5731603859549,-12.3349329002944
"Niger",9.38774616359149,17.4335007280269
"Colombia",-73.0737329549867,3.90347049119849
"Ethiopia",39.6174991052976,8.60875767302811
"Bolivia",-64.6569311446221,-16.716509904758
"Egypt",29.8713260322672,26.4947015857926
"Mauritania",-10.3320202359605,20.2605249703334
"Pakistan",69.3857682344699,29.966376080863
"Turkey",35.4303161924956,38.9880005318079
"Sweden",16.7326685756034,62.8447182764873
"Chile",-71.2451459699348,-35.4505686052142
"Venezuela",-66.1762371276928,7.11401748106248
"Nigeria",8.07476989182138,9.5768618915562
"Ukraine",31.3877824162169,49.014526810363
"Tanzania",34.9644198288488,-6.4500821614234
"Namibia",17.2207047640987,-22.1326901860112
"Mozambique",35.5566907433006,-17.2999833638788
"France",2.46005109951252,46.6279035588134
"Zambia",27.7910359124931,-13.4665430469985
"Afghanistan",66.0256960265162,33.8385642856369
"Finland",26.2914167911753,64.520933544748
"Norway",13.9734288904886,64.2146727985845
"Myanmar (Burma)",96.5137022086134,21.1955002738076
"Spain",-3.55255679998369,40.3891718498523
"Somalia",45.8622646522003,6.06452369275084
"Madagascar",46.7028550428828,-19.3794860521075
"Botswana",23.8139842021209,-22.1821869755113
"Central African Republic",20.4840919740091,6.56952907561263
"Turkmenistan",59.3872596232608,39.1202984524725
"Kenya",37.87996784377,0.538937194415335
"Germany",10.3809625152919,51.0881520321377
"Uzbekistan",63.4560275201914,41.5453619121779
"Thailand",101.022392619124,15.1428385441039
"Iraq",43.7871744333509,33.0419267932096
"Poland",19.4007522116533,52.1226051124854
"Morocco",-6.31676826172326,31.8843478125333
"Japan",137.97943648376,36.64394093893
"Cameroon",12.7386220675498,5.65380663500003
"Yemen",47.5217232899083,15.8150058445429
"Paraguay",-58.3906794534652,-23.2390581241096
"Zimbabwe",29.8708085969779,-19.0015960139059
"United Kingdom",-2.51934238265619,53.9444042941631
"Italy",12.1601049627175,43.5257389764405
"Papua New Guinea",144.266748549905,-6.62016075376125
"New Zealand",170.508786606922,-43.9905461595708
"Byelarus",28.0478674135582,53.5386370275363
"Congo",15.2249533744123,-0.839851546981935
"Vietnam",106.308558334233,16.6633093339048
"Romania",24.9718506759677,45.8428093523739
"Oman",56.0505502363388,20.5376791189851
"Malaysia",114.73034583546,3.61346742314219
"Ivory Coast",-5.55505570166065,7.62667996868874
"Svalbard",15.9008827976893,78.605209005723
"Philippines",121.426269121683,15.9454317428275
"Western Sahara",-13.1365994041893,24.6623955491315
"Burkina Faso",-1.74131909996523,12.2738587449718
"Kyrgyzstan",74.5544762932571,41.4639476118796
"Gabon",11.7999785884554,-0.591457296269616
"Ecuador",-78.3859647150064,-1.44841950670098
"Guinea",-10.9344989464972,10.4369741470982
"Laos",103.763921086325,18.5018358847276
"Ghana",-1.20543756543984,7.96118943573238
"Iceland",-18.5957887682187,64.9943470024142
"Syria",38.5063907698201,35.0124343752336
"Uganda",32.3076782663719,1.51415765299641
"Uruguay",-56.0131775783038,-32.7995558292433
"Guyana",-58.9738179001446,4.79279308944189
"Senegal",-14.4665769051454,14.3669235247868
"Tunisia",9.5569994576791,34.1138598525956
"Cambodia",104.925348955274,12.7165525112089
"Tajikistan",71.0390708203907,38.5300164145082
"Nepal",83.9393118758071,28.2538143626609
"Greece",22.5881569503871,39.4771246702191
"North Korea",127.189642672207,40.1477497593084
"Bulgaria",25.2376786967919,42.7608407397855
"Bangladesh",90.2530253176831,23.8778828876072
"Suriname",-55.912915982073,4.12732219656351
"Hungary",19.4146744541267,47.1658522202941
"Nicaragua",-85.0333512754931,12.8442418287722
"Eritrea",38.8461980337294,15.3318747746841
"Austria",14.1449169607691,47.5909747921808
"Serbia",20.817187143133,44.0259873138587
"Czech Republic",15.3021338124641,49.7467154124451
"South Korea",127.874615175151,36.4545257334119
"Portugal",-7.96199382923628,39.6887408955919
"Benin",2.34331886142256,9.6412670940914
"Cuba",-78.9550387859883,21.6098775238296
"Latvia",24.9259014018302,56.8579687179887
"Honduras",-86.6153453251021,14.8197544748051
"Ireland",-8.13774537057252,53.1738696989457
"Lithuania",23.9041207829585,55.3345264990815
"Guatemala",-90.3547810555381,15.7014953514773
"Azerbaijan",47.6668321031308,40.3526606723731
"Jordan",36.8082024514828,31.2655769972889
"Malawi",34.2707526054363,-13.5430050522972
"Liberia",-9.3088699592931,6.4459168804129
"Georgia",43.511064121418,42.1789512829414
