Timestamp,What percentage of the world's vascular plant species are woody?,How would you rate your familiarity with plants?,How much formal training have you received in botany?,What continent/country did you receive your biology/botany training?,In what country did you receive your biology/botany training?
06/04/12 1:30,50,Familiar,Postgraduate degree in botany or a related field,,Netherlands
06/04/12 1:40,25,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 1:50,7.5,Familiar,Undergraduate degree in botany or a related field,,Spain
06/04/12 2:10,20,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Portugal
06/04/12 2:15,20,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Netherlands
06/04/12 2:29,30,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Portugal
06/04/12 2:33,12.5,Very Familiar,Some botany courses at either an undergraduate or postgraduate level,,France
06/04/12 2:53,37.5,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Netherlands
06/04/12 4:02,15,Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 4:22,10,Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 4:38,50,Familiar,Some botany courses at either an undergraduate or postgraduate level,,Israel
06/04/12 4:40,7.5,Familiar,Partially complete postgraduate degree in botany or a related field,,Germany
06/04/12 5:00,35,Familiar,Undergraduate degree in botany or a related field,,Colombia
06/04/12 5:06,40,Somewhat Familiar,Undergraduate degree in botany or a related field,,France
06/04/12 5:14,40,Familiar,Postgraduate degree in botany or a related field,,France
06/04/12 5:16,35,Familiar,Partially complete postgraduate degree in botany or a related field,,Switzerland
06/04/12 5:51,10,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
06/04/12 5:51,8,Very Familiar,Postgraduate degree in botany or a related field,,Canada
06/04/12 6:02,25,Familiar,Partially complete postgraduate degree in botany or a related field,,Mexico
06/04/12 6:04,45,Somewhat Familiar,No formal training in botany,,USA
06/04/12 6:14,25,Familiar,Postgraduate degree in botany or a related field,,Brazil
06/04/12 6:17,20,,,,
06/04/12 6:18,20,Somewhat Familiar,Undergraduate degree in botany or a related field,,Brazil
06/04/12 6:18,20,Somewhat Familiar,Undergraduate degree in botany or a related field,,Brazil
06/04/12 6:20,23.87,What's a Plant?,Some botany courses at either an undergraduate or postgraduate level,,Brazil
06/04/12 6:24,70,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 6:36,50,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
06/04/12 6:37,30,Familiar,Some botany courses at either an undergraduate or postgraduate level,,UK
06/04/12 6:44,10,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,UK
06/04/12 6:46,33,Very Familiar,Postgraduate degree in botany or a related field,,Canada
06/04/12 6:51,4,Somewhat Familiar,No formal training in botany,,USA
06/04/12 6:51,15,What's a Plant?,No formal training in botany,,USA
06/04/12 7:05,40,Familiar,Postgraduate degree in botany or a related field,,Russia
06/04/12 7:09,25,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Ecuador
06/04/12 7:14,45,Familiar,Undergraduate degree in botany or a related field,,Brazil
06/04/12 7:23,30,Familiar,Postgraduate degree in botany or a related field,,Canada
06/04/12 7:32,43,Familiar,Partially complete postgraduate degree in botany or a related field,,Brazil
06/04/12 7:40,5,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
06/04/12 7:54,35,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Colombia
06/04/12 8:15,12.5,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 8:27,30,Very Familiar,Postgraduate degree in botany or a related field,,Scotland
06/04/12 8:28,40,Somewhat Familiar,Undergraduate degree in botany or a related field,,Brazil
06/04/12 8:54,30,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 8:59,20,Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 9:07,75,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Brazil
06/04/12 9:32,30,Familiar,Postgraduate degree in botany or a related field,,India and USA
06/04/12 9:40,20,What's a Plant?,Some botany courses at either an undergraduate or postgraduate level,,USA
06/04/12 9:42,30,Somewhat Familiar,Undergraduate degree in botany or a related field,,USA
06/04/12 9:52,20,Familiar,Undergraduate degree in botany or a related field,,USA
06/04/12 9:54,10,Somewhat Familiar,No formal training in botany,,
06/04/12 10:05,30,Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 10:31,15,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
06/04/12 10:41,30,Somewhat Familiar,Partially complete postgraduate degree in botany or a related field,,Turkey
06/04/12 10:44,50,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
06/04/12 10:46,20,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 10:47,40,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
06/04/12 10:48,60,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 10:49,33,Very Familiar,Partially complete postgraduate degree in botany or a related field,,USA
06/04/12 10:51,7.5,Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 10:54,40,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 10:54,25,Familiar,Postgraduate degree in botany or a related field,,Italy
06/04/12 10:56,30,Somewhat Familiar,No formal training in botany,,USA
06/04/12 10:57,80,Very Familiar,Partially complete postgraduate degree in botany or a related field,,USA
06/04/12 10:58,25,Very Familiar,Postgraduate degree in botany or a related field,,France
06/04/12 11:03,35,Familiar,Partially complete postgraduate degree in botany or a related field,,USA
06/04/12 11:04,45,Very Familiar,Partially complete postgraduate degree in botany or a related field,,Italy / USA
06/04/12 11:07,40,Familiar,Postgraduate degree in botany or a related field,,USA & UK
06/04/12 11:11,15,Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 11:12,35,Very Familiar,Partially complete postgraduate degree in botany or a related field,,USA
06/04/12 11:16,10.4,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,Canada
06/04/12 11:16,33.33333333,Familiar,Postgraduate degree in botany or a related field,,Germany and France
06/04/12 11:23,32.5,Somewhat Familiar,Some botany courses at either an undergraduate or postgraduate level,,USA
06/04/12 11:26,15,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 11:35,14.3,What's a Plant?,No formal training in botany,,USA
06/04/12 11:37,5,Very Familiar,Postgraduate degree in botany or a related field,,USA
06/04/12 11:39,25,Somewhat Familiar,Undergraduate degree in botany or a related field,,Canada
06/04/12 11:46,30,Very Familiar,Postgraduate degree in botany or a related field,,USA
